Region,Season,Crop,Production (tons),Area (hectares),Yield Ratio
Gandaki,Winter,Maize,8559,43,2.63
Sudurpashchim,Summer (Monsoon),Lentil,584,569,1.63
Lumbini,Whole Year,Maize,3480,863,1.01
Bagmati,Spring,Millet,9223,16,1.09
Bagmati,Summer (Monsoon),Lentil,6395,707,1.93
Madhesh,Winter,Barley,6991,622,4.99
Province 1,Spring,Barley,6982,167,4.07
Gandaki,Spring,Maize,4102,493,4.29
Madhesh,Spring,Potato,224,344,3.64
Lumbini,Whole Year,Lentil,9932,489,3.72
Gandaki,Whole Year,Mustard,4993,889,4.17
Gandaki,Whole Year,Barley,656,621,3.69
Lumbini,Whole Year,Millet,120,477,1.19
Lumbini,Winter,Rice,6623,386,1.63
Sudurpashchim,Winter,Rice,212,711,3.16
Sudurpashchim,Spring,Maize,4251,660,3.55
Province 1,Spring,Maize,7903,759,3.59
Karnali,Whole Year,Millet,4561,268,3.62
Sudurpashchim,Spring,Maize,2552,520,3.32
Lumbini,Winter,Millet,592,181,4.23
Bagmati,Winter,Potato,2938,120,1.99
Gandaki,Whole Year,Maize,3317,153,2.85
Lumbini,Winter,Maize,7545,180,1.55
Sudurpashchim,Summer (Monsoon),Mustard,6061,898,2.36
Madhesh,Winter,Maize,1822,853,4.97
Province 1,Summer (Monsoon),Rice,936,380,2.62
Sudurpashchim,Winter,Rice,3512,740,4.51
Gandaki,Winter,Rice,6651,623,2.22
Karnali,Spring,Barley,7789,754,0.71
Sudurpashchim,Summer (Monsoon),Wheat,5356,871,2.52
Lumbini,Winter,Maize,3616,960,2.14
Sudurpashchim,Summer (Monsoon),Rice,7574,132,0.62
Gandaki,Winter,Lentil,5197,563,1.43
Karnali,Summer (Monsoon),Rice,9647,754,1.17
Karnali,Spring,Rice,6387,277,3.44
Bagmati,Winter,Mustard,350,333,1.21
Sudurpashchim,Winter,Millet,5864,387,1.79
Bagmati,Summer (Monsoon),Rice,3637,215,4.64
Lumbini,Whole Year,Wheat,7305,788,1.94
Madhesh,Whole Year,Rice,1151,889,1.48
Karnali,Winter,Millet,1657,740,3.53
Karnali,Summer (Monsoon),Barley,9447,336,3.71
Gandaki,Summer (Monsoon),Lentil,7923,290,2.14
Madhesh,Summer (Monsoon),Rice,1590,491,3.99
Bagmati,Winter,Millet,9172,891,4.33
Bagmati,Summer (Monsoon),Maize,2633,151,3.67
Madhesh,Winter,Wheat,4802,2,3.11
Province 1,Winter,Rice,7439,783,1.62
Sudurpashchim,Whole Year,Lentil,6480,393,4.18
Bagmati,Whole Year,Barley,5872,961,1.31
Sudurpashchim,Winter,Barley,9177,155,3.32
Lumbini,Summer (Monsoon),Potato,9546,278,4.75
Bagmati,Whole Year,Lentil,3623,108,3.3
Bagmati,Whole Year,Rice,6220,316,3.86
Sudurpashchim,Whole Year,Millet,4308,199,3.34
Madhesh,Spring,Maize,4043,101,4.79
Sudurpashchim,Spring,Millet,1779,71,3.42
Province 1,Spring,Barley,8289,436,2.75
Lumbini,Summer (Monsoon),Rice,5693,883,1.04
Karnali,Summer (Monsoon),Lentil,6720,496,3.55
Sudurpashchim,Summer (Monsoon),Maize,4104,12,1.41
Bagmati,Whole Year,Barley,9065,281,1.35
Lumbini,Spring,Rice,2923,829,3.04
Lumbini,Winter,Lentil,6390,631,2.3
Madhesh,Whole Year,Mustard,9730,679,2.8
Sudurpashchim,Whole Year,Mustard,8999,225,2.16
Lumbini,Whole Year,Lentil,8786,337,2.31
Lumbini,Winter,Millet,3072,807,3.27
Lumbini,Spring,Lentil,7722,410,2.6
Province 1,Summer (Monsoon),Wheat,5078,712,1.67
Gandaki,Spring,Maize,9799,980,4.03
Sudurpashchim,Winter,Mustard,8111,840,3.6
Bagmati,Whole Year,Barley,1819,105,0.55
Bagmati,Summer (Monsoon),Potato,6238,168,1.65
Bagmati,Summer (Monsoon),Maize,6853,408,1.26
Bagmati,Winter,Millet,1586,988,4.99
Province 1,Whole Year,Wheat,2630,686,3.85
Karnali,Summer (Monsoon),Potato,7732,565,1.62
Lumbini,Winter,Rice,3799,949,0.91
Madhesh,Winter,Maize,4511,623,4.75
Bagmati,Whole Year,Potato,2604,897,3.03
Madhesh,Winter,Lentil,9768,884,3.42
Lumbini,Summer (Monsoon),Mustard,3402,674,3.09
Province 1,Whole Year,Millet,1785,579,2.86
Sudurpashchim,Whole Year,Potato,8809,995,2.35
Gandaki,Summer (Monsoon),Mustard,8093,534,2.18
Gandaki,Whole Year,Maize,6987,731,3.04
Lumbini,Whole Year,Mustard,1669,775,3.28
Bagmati,Whole Year,Maize,5227,535,4.2
Gandaki,Spring,Potato,2694,306,3.6
Madhesh,Winter,Wheat,7763,452,0.59
Madhesh,Winter,Maize,8005,86,3.56
Sudurpashchim,Spring,Wheat,2767,280,1.57
Madhesh,Summer (Monsoon),Wheat,2330,911,4.58
Bagmati,Summer (Monsoon),Potato,8750,285,2.07
Karnali,Summer (Monsoon),Rice,3556,380,1.55
Madhesh,Whole Year,Maize,3299,291,3.65
Lumbini,Whole Year,Potato,1835,867,2.37
Gandaki,Whole Year,Barley,7042,29,0.66
Sudurpashchim,Spring,Millet,1247,710,3.31
Karnali,Spring,Maize,2558,491,2.27
Lumbini,Summer (Monsoon),Mustard,7932,201,3.23
Bagmati,Whole Year,Potato,3246,30,0.91
Madhesh,Whole Year,Mustard,731,670,1.14
Lumbini,Spring,Mustard,3129,491,1.67
Gandaki,Winter,Maize,6390,787,2.76
Sudurpashchim,Summer (Monsoon),Wheat,8925,701,1.36
Bagmati,Winter,Lentil,6514,252,4.57
Sudurpashchim,Winter,Lentil,8562,758,2.76
Karnali,Summer (Monsoon),Mustard,4927,63,4.4
Lumbini,Whole Year,Potato,291,887,2.77
Lumbini,Winter,Mustard,7847,938,1.15
Province 1,Winter,Mustard,4722,547,2.9
Province 1,Summer (Monsoon),Millet,1582,426,4.59
Madhesh,Winter,Maize,8998,935,1.48
Lumbini,Spring,Wheat,1095,69,4.2
Province 1,Whole Year,Millet,3023,465,0.96
Lumbini,Whole Year,Barley,6502,337,1.3
Madhesh,Whole Year,Mustard,6259,940,2.49
Lumbini,Whole Year,Barley,9057,362,2.84
Madhesh,Spring,Maize,6486,671,3.38
Karnali,Winter,Lentil,4696,412,4.85
Gandaki,Whole Year,Wheat,803,820,2.66
Sudurpashchim,Summer (Monsoon),Lentil,2391,662,1.11
Province 1,Summer (Monsoon),Wheat,1342,539,3.55
Bagmati,Whole Year,Mustard,4768,565,1.31
Gandaki,Whole Year,Potato,2996,800,1.35
Karnali,Spring,Wheat,941,465,4.08
Province 1,Winter,Maize,5565,256,1.36
Province 1,Whole Year,Barley,3101,44,3.78
Province 1,Whole Year,Maize,691,591,2.95
Gandaki,Spring,Mustard,855,758,3.15
Karnali,Winter,Wheat,1294,949,1.81
Bagmati,Whole Year,Wheat,7624,851,2.79
Karnali,Summer (Monsoon),Lentil,8733,12,3.23
Bagmati,Spring,Maize,6240,520,3.04
Karnali,Summer (Monsoon),Rice,2788,877,2.57
Bagmati,Whole Year,Rice,6248,625,4.41
Sudurpashchim,Whole Year,Rice,7522,56,3.23
Lumbini,Spring,Millet,7724,736,3.21
Bagmati,Winter,Millet,8094,999,2.92
Karnali,Spring,Mustard,7085,724,1.95
Province 1,Whole Year,Millet,8976,635,4.92
Sudurpashchim,Summer (Monsoon),Maize,1312,819,4.48
Madhesh,Spring,Barley,5464,508,2.1
Gandaki,Whole Year,Mustard,4891,71,2.76
Sudurpashchim,Winter,Millet,8131,330,3.63
Madhesh,Whole Year,Maize,9027,544,4.53
Gandaki,Spring,Lentil,1553,962,3.98
Sudurpashchim,Summer (Monsoon),Potato,2736,166,3.25
Madhesh,Spring,Rice,2709,582,1.64
Karnali,Spring,Lentil,2077,166,4.68
Lumbini,Winter,Rice,3132,528,2.83
Bagmati,Spring,Maize,2660,922,2.82
Sudurpashchim,Spring,Lentil,6231,505,2.96
Lumbini,Whole Year,Wheat,8795,399,2.38
Bagmati,Spring,Maize,4278,881,1.95
Gandaki,Winter,Mustard,125,304,1.07
Sudurpashchim,Spring,Rice,324,550,0.72
Karnali,Summer (Monsoon),Wheat,7106,373,3.68
Lumbini,Whole Year,Millet,9228,953,3.3
Province 1,Whole Year,Potato,6129,67,3.92
Karnali,Summer (Monsoon),Mustard,4877,684,3.88
Bagmati,Winter,Wheat,4966,797,3.97
Sudurpashchim,Summer (Monsoon),Maize,9571,282,3.71
Lumbini,Winter,Barley,1833,158,0.55
Madhesh,Spring,Maize,4473,670,0.9
Province 1,Spring,Lentil,5019,967,2.96
Bagmati,Spring,Millet,7704,69,4.86
Gandaki,Winter,Lentil,1696,733,3.65
Gandaki,Spring,Lentil,6542,114,1.85
Bagmati,Spring,Barley,2565,774,3.42
Karnali,Spring,Mustard,9515,998,3.62
Madhesh,Summer (Monsoon),Rice,5575,224,3.6
Lumbini,Whole Year,Millet,5523,869,2.03
Karnali,Spring,Lentil,3553,838,2.41
Bagmati,Whole Year,Maize,8230,587,2.61
Gandaki,Winter,Potato,3370,951,1.71
Bagmati,Summer (Monsoon),Lentil,2823,627,4.99
Karnali,Summer (Monsoon),Maize,8961,216,1.66
Province 1,Summer (Monsoon),Wheat,5281,261,3.42
Karnali,Spring,Mustard,8509,401,0.64
Madhesh,Spring,Millet,7479,570,1.0
Gandaki,Whole Year,Maize,504,906,2.71
Province 1,Winter,Millet,3536,239,3.1
Lumbini,Whole Year,Mustard,2190,587,0.58
Province 1,Whole Year,Mustard,2929,53,2.34
Karnali,Summer (Monsoon),Lentil,359,938,4.22
Madhesh,Whole Year,Rice,2051,241,4.59
Madhesh,Summer (Monsoon),Millet,846,750,1.15
Madhesh,Spring,Maize,9728,193,0.54
Province 1,Summer (Monsoon),Barley,4727,574,1.56
Karnali,Whole Year,Lentil,7558,657,1.87
Gandaki,Whole Year,Rice,7931,714,2.55
Province 1,Summer (Monsoon),Lentil,5745,284,4.78
Madhesh,Summer (Monsoon),Rice,567,92,2.7
Gandaki,Summer (Monsoon),Millet,1403,50,4.23
Bagmati,Spring,Millet,7299,888,2.8
Lumbini,Summer (Monsoon),Maize,5813,259,0.87
Karnali,Winter,Maize,1001,752,2.5
Sudurpashchim,Summer (Monsoon),Potato,4140,21,0.88
Sudurpashchim,Whole Year,Lentil,1630,190,4.9
Madhesh,Whole Year,Potato,7674,298,2.06
Gandaki,Spring,Lentil,2973,903,1.29
Province 1,Spring,Wheat,7676,717,2.28
Sudurpashchim,Spring,Mustard,4172,328,1.42
Bagmati,Summer (Monsoon),Potato,8582,557,4.92
Gandaki,Whole Year,Barley,5314,255,1.1
Madhesh,Whole Year,Mustard,4389,282,3.0
Madhesh,Summer (Monsoon),Rice,9026,671,2.83
Karnali,Spring,Wheat,3869,572,4.3
Lumbini,Winter,Rice,8798,917,4.91
Bagmati,Whole Year,Lentil,9101,875,1.27
Madhesh,Spring,Rice,4980,832,4.81
Sudurpashchim,Summer (Monsoon),Millet,3498,703,3.62
Bagmati,Summer (Monsoon),Lentil,7106,1,1.12
Gandaki,Summer (Monsoon),Maize,6983,206,2.57
Madhesh,Summer (Monsoon),Mustard,9670,2,1.18
Gandaki,Spring,Lentil,6002,144,4.39
Province 1,Summer (Monsoon),Mustard,2647,926,1.44
Sudurpashchim,Summer (Monsoon),Maize,3010,990,4.2
Lumbini,Summer (Monsoon),Millet,9450,641,1.42
Province 1,Whole Year,Barley,845,852,1.53
Madhesh,Spring,Rice,9793,796,2.63
Lumbini,Spring,Potato,840,840,3.31
Sudurpashchim,Spring,Wheat,6766,70,1.56
Gandaki,Winter,Rice,588,665,4.57
Lumbini,Spring,Mustard,9551,633,4.98
Madhesh,Whole Year,Potato,5508,695,2.93
Madhesh,Summer (Monsoon),Mustard,7901,136,1.8
Madhesh,Winter,Maize,6285,237,3.14
Bagmati,Winter,Millet,928,821,1.61
Madhesh,Winter,Barley,336,941,3.63
Sudurpashchim,Spring,Wheat,6287,464,2.76
Lumbini,Whole Year,Millet,6616,622,3.23
Bagmati,Whole Year,Barley,1397,888,3.78
Sudurpashchim,Winter,Rice,7578,420,1.85
Madhesh,Spring,Lentil,9116,241,4.91
Lumbini,Spring,Maize,2191,747,4.26
Sudurpashchim,Summer (Monsoon),Potato,9843,799,3.03
Karnali,Winter,Maize,5194,461,0.66
Gandaki,Whole Year,Millet,8281,848,3.58
Lumbini,Winter,Barley,4580,625,1.35
Bagmati,Winter,Lentil,403,624,4.06
Madhesh,Spring,Potato,3825,821,1.78
Madhesh,Summer (Monsoon),Potato,1540,510,3.71
Lumbini,Summer (Monsoon),Maize,268,912,2.44
Madhesh,Spring,Potato,3982,422,3.7
Province 1,Whole Year,Lentil,430,181,4.54
Karnali,Spring,Barley,3450,314,0.8
Bagmati,Summer (Monsoon),Mustard,8851,238,1.42
Bagmati,Whole Year,Maize,4163,582,1.29
Sudurpashchim,Whole Year,Potato,1735,976,4.31
Sudurpashchim,Spring,Potato,623,978,3.89
Province 1,Spring,Potato,7829,864,3.32
Madhesh,Whole Year,Mustard,2264,489,1.4
Province 1,Winter,Wheat,7699,910,4.24
Province 1,Spring,Mustard,693,467,3.55
Sudurpashchim,Winter,Potato,8108,426,4.3
Province 1,Whole Year,Millet,4985,516,3.7
Madhesh,Spring,Wheat,8051,830,0.6
Bagmati,Whole Year,Wheat,7523,576,1.76
Karnali,Whole Year,Wheat,5937,980,1.24
Lumbini,Spring,Barley,6077,134,2.44
Sudurpashchim,Summer (Monsoon),Mustard,3460,589,1.85
Sudurpashchim,Spring,Rice,3559,291,2.21
Karnali,Winter,Mustard,346,12,3.52
Bagmati,Spring,Millet,7985,841,0.79
Sudurpashchim,Whole Year,Lentil,7120,971,2.68
Lumbini,Summer (Monsoon),Lentil,3658,581,4.03
Karnali,Spring,Millet,3471,493,3.14
Sudurpashchim,Whole Year,Rice,9797,25,2.35
Lumbini,Summer (Monsoon),Lentil,7356,103,4.27
Lumbini,Spring,Millet,9692,850,1.42
Lumbini,Spring,Mustard,6871,859,1.76
Province 1,Winter,Lentil,7906,321,4.86
Karnali,Whole Year,Rice,4181,508,4.88
Bagmati,Winter,Barley,5150,352,3.99
Sudurpashchim,Whole Year,Millet,5193,352,4.66
Madhesh,Winter,Lentil,2931,901,4.76
Madhesh,Summer (Monsoon),Wheat,440,289,3.57
Lumbini,Whole Year,Millet,7004,210,4.78
Sudurpashchim,Spring,Mustard,8026,527,3.72
Bagmati,Spring,Lentil,8731,856,1.93
Sudurpashchim,Whole Year,Barley,4316,742,0.98
Karnali,Summer (Monsoon),Maize,3123,976,1.43
Karnali,Winter,Millet,7263,722,1.59
Sudurpashchim,Spring,Rice,2807,996,2.06
Karnali,Whole Year,Potato,1515,532,3.74
Karnali,Summer (Monsoon),Potato,4386,392,3.9
Karnali,Whole Year,Barley,9892,487,2.3
Sudurpashchim,Spring,Mustard,225,892,3.67
Madhesh,Whole Year,Lentil,5274,291,1.77
Karnali,Winter,Maize,2033,765,1.84
Province 1,Whole Year,Rice,2321,122,1.82
Sudurpashchim,Summer (Monsoon),Mustard,4950,18,4.28
Sudurpashchim,Whole Year,Barley,895,704,0.73
Province 1,Spring,Potato,319,111,1.11
Madhesh,Spring,Mustard,2433,254,3.38
Gandaki,Summer (Monsoon),Barley,8908,173,1.46
Sudurpashchim,Winter,Barley,6494,271,1.44
Gandaki,Winter,Millet,4342,921,4.4
Gandaki,Summer (Monsoon),Millet,9374,621,3.79
Bagmati,Whole Year,Millet,7293,496,2.99
Madhesh,Winter,Barley,1622,159,1.66
Province 1,Whole Year,Barley,6916,446,4.69
Gandaki,Whole Year,Barley,7494,384,2.09
Sudurpashchim,Spring,Maize,5606,842,2.42
Madhesh,Winter,Mustard,3529,47,0.51
Gandaki,Spring,Rice,1920,634,3.14
Karnali,Winter,Maize,199,786,4.35
Karnali,Spring,Lentil,4331,428,3.15
Gandaki,Summer (Monsoon),Potato,1540,94,4.83
Madhesh,Summer (Monsoon),Potato,5848,909,4.55
Madhesh,Spring,Potato,2128,169,3.99
Gandaki,Summer (Monsoon),Potato,3101,486,1.76
Province 1,Summer (Monsoon),Wheat,1114,483,4.73
Province 1,Summer (Monsoon),Lentil,786,713,2.93
Province 1,Whole Year,Wheat,5095,69,2.82
Gandaki,Spring,Lentil,7716,118,1.51
Sudurpashchim,Summer (Monsoon),Potato,9099,777,3.16
Province 1,Whole Year,Millet,2155,604,2.51
Gandaki,Spring,Rice,674,910,4.93
Bagmati,Spring,Millet,918,540,4.38
Gandaki,Spring,Rice,9713,269,0.66
Province 1,Summer (Monsoon),Rice,725,327,1.82
Sudurpashchim,Summer (Monsoon),Millet,8696,885,3.65
Madhesh,Spring,Barley,2407,580,4.35
Province 1,Spring,Maize,7745,267,2.1
Karnali,Winter,Potato,9062,853,3.28
Gandaki,Winter,Lentil,4093,813,1.72
Lumbini,Whole Year,Lentil,5768,399,4.38
Gandaki,Whole Year,Rice,4347,384,1.78
Sudurpashchim,Spring,Millet,483,314,3.4
Lumbini,Summer (Monsoon),Maize,7642,270,2.79
Province 1,Winter,Mustard,2191,785,4.78
Sudurpashchim,Winter,Barley,2385,324,4.41
Gandaki,Summer (Monsoon),Millet,1098,269,2.54
Lumbini,Spring,Potato,9222,599,2.1
Madhesh,Spring,Lentil,5006,987,1.67
Sudurpashchim,Whole Year,Millet,7853,725,3.76
Bagmati,Summer (Monsoon),Potato,4406,441,4.69
Gandaki,Whole Year,Mustard,2024,144,2.22
Bagmati,Whole Year,Potato,3396,945,3.93
Madhesh,Whole Year,Rice,6767,752,3.81
Karnali,Summer (Monsoon),Maize,6179,850,1.81
Gandaki,Summer (Monsoon),Mustard,7116,278,2.34
Madhesh,Whole Year,Maize,5598,687,4.77
Lumbini,Whole Year,Maize,5296,494,0.64
Gandaki,Winter,Maize,241,855,4.54
Lumbini,Winter,Maize,2423,923,1.12
Lumbini,Winter,Rice,5738,58,3.4
Sudurpashchim,Whole Year,Potato,1024,263,3.81
Province 1,Whole Year,Mustard,7195,782,2.07
Lumbini,Winter,Maize,8715,605,2.0
Lumbini,Spring,Rice,4974,283,4.82
Province 1,Whole Year,Lentil,6719,668,1.36
Lumbini,Summer (Monsoon),Barley,2882,553,1.54
Province 1,Winter,Potato,1884,593,1.09
Lumbini,Spring,Wheat,9735,636,3.57
Madhesh,Spring,Barley,6441,162,4.48
Sudurpashchim,Spring,Potato,8890,851,1.97
Gandaki,Summer (Monsoon),Lentil,622,390,3.72
Province 1,Whole Year,Millet,230,210,1.88
Madhesh,Spring,Millet,2691,608,2.48
Province 1,Spring,Lentil,833,50,2.15
Madhesh,Winter,Rice,3775,766,0.88
Bagmati,Spring,Wheat,1702,272,1.06
Sudurpashchim,Summer (Monsoon),Lentil,2319,853,2.83
Gandaki,Winter,Maize,1206,479,4.67
Province 1,Summer (Monsoon),Maize,9772,802,4.09
Gandaki,Summer (Monsoon),Rice,5428,432,3.87
Province 1,Summer (Monsoon),Barley,7019,254,2.67
Sudurpashchim,Whole Year,Lentil,147,343,0.59
Karnali,Spring,Wheat,262,21,1.04
Bagmati,Summer (Monsoon),Maize,3768,276,2.88
Karnali,Spring,Barley,959,953,4.41
Lumbini,Summer (Monsoon),Potato,6614,632,4.54
Bagmati,Summer (Monsoon),Potato,4253,561,3.15
Bagmati,Whole Year,Millet,3529,185,4.46
Lumbini,Whole Year,Maize,3042,911,2.14
Karnali,Whole Year,Rice,4825,229,2.02
Lumbini,Spring,Barley,5939,641,3.35
Madhesh,Spring,Wheat,2169,192,2.7
Bagmati,Summer (Monsoon),Wheat,486,60,4.73
Province 1,Summer (Monsoon),Millet,2079,43,3.94
Sudurpashchim,Winter,Maize,6714,928,3.56
Madhesh,Summer (Monsoon),Millet,5151,968,2.95
Madhesh,Summer (Monsoon),Millet,6812,615,1.26
Karnali,Whole Year,Millet,9844,316,1.64
Karnali,Spring,Wheat,3891,484,2.26
Sudurpashchim,Whole Year,Rice,6359,926,1.06
Lumbini,Whole Year,Potato,2120,789,1.13
Sudurpashchim,Spring,Lentil,3708,934,3.81
Madhesh,Winter,Wheat,3691,796,1.53
Karnali,Summer (Monsoon),Lentil,9624,667,2.87
Province 1,Summer (Monsoon),Lentil,239,712,2.24
Gandaki,Whole Year,Potato,1435,414,1.1
Province 1,Whole Year,Maize,6738,398,1.54
Bagmati,Spring,Mustard,3415,171,2.62
Province 1,Summer (Monsoon),Barley,3205,730,2.74
Madhesh,Summer (Monsoon),Wheat,2883,302,2.7
Bagmati,Winter,Millet,1825,27,3.55
Gandaki,Spring,Lentil,1782,920,3.04
Madhesh,Winter,Maize,4567,968,5.0
Madhesh,Spring,Millet,9226,37,1.7
Gandaki,Spring,Potato,3928,581,1.03
Sudurpashchim,Winter,Lentil,8984,263,3.45
Karnali,Whole Year,Millet,9344,860,3.63
Karnali,Whole Year,Wheat,8089,72,3.59
Bagmati,Whole Year,Mustard,1115,753,2.55
Karnali,Summer (Monsoon),Wheat,4448,421,4.58
Sudurpashchim,Winter,Maize,1014,138,4.03
Gandaki,Spring,Lentil,2797,715,1.2
Sudurpashchim,Summer (Monsoon),Rice,7355,667,4.17
Sudurpashchim,Winter,Wheat,3615,346,3.42
Karnali,Winter,Wheat,4714,566,1.85
Province 1,Summer (Monsoon),Lentil,3514,179,3.34
Karnali,Spring,Barley,7631,163,3.96
Madhesh,Summer (Monsoon),Lentil,2980,544,4.37
Province 1,Spring,Maize,3751,418,3.75
Gandaki,Spring,Rice,3136,622,1.05
Sudurpashchim,Whole Year,Rice,2522,184,2.98
Bagmati,Winter,Millet,6399,919,2.27
Gandaki,Summer (Monsoon),Lentil,2610,12,3.38
Madhesh,Summer (Monsoon),Potato,2116,64,1.01
Gandaki,Winter,Maize,475,413,1.09
Madhesh,Spring,Rice,7506,406,1.91
Madhesh,Winter,Millet,1694,614,3.27
Karnali,Spring,Mustard,3398,189,0.79
Gandaki,Spring,Lentil,5765,282,4.63
Karnali,Spring,Wheat,1485,193,1.17
Gandaki,Spring,Lentil,6737,33,3.39
Karnali,Summer (Monsoon),Lentil,7224,35,1.66
Lumbini,Whole Year,Lentil,7119,405,2.32
Province 1,Whole Year,Wheat,627,900,1.98
Gandaki,Summer (Monsoon),Wheat,8233,368,0.94
Lumbini,Spring,Maize,9552,487,3.07
Sudurpashchim,Spring,Millet,6149,617,2.02
Karnali,Spring,Lentil,3281,398,3.86
Bagmati,Winter,Rice,9582,761,2.39
Province 1,Whole Year,Lentil,9603,410,0.92
Sudurpashchim,Summer (Monsoon),Mustard,9993,178,4.9
Gandaki,Spring,Lentil,9162,705,2.28
Gandaki,Summer (Monsoon),Mustard,7979,464,3.36
Sudurpashchim,Spring,Maize,117,891,0.79
Madhesh,Winter,Potato,7829,680,2.61
Province 1,Summer (Monsoon),Millet,7912,703,1.34
Province 1,Winter,Lentil,5206,459,3.01
Lumbini,Whole Year,Rice,1389,836,1.21
Bagmati,Summer (Monsoon),Lentil,2045,464,0.73
Gandaki,Summer (Monsoon),Wheat,8410,445,4.43
Madhesh,Winter,Potato,3084,314,4.61
Madhesh,Whole Year,Maize,2451,114,4.41
Gandaki,Summer (Monsoon),Mustard,6192,21,3.39
Gandaki,Spring,Wheat,4634,62,0.78
Province 1,Spring,Mustard,5611,687,4.81
Karnali,Winter,Rice,9146,504,3.08
Sudurpashchim,Whole Year,Barley,8371,690,1.53
Karnali,Spring,Wheat,1268,459,1.42
Karnali,Summer (Monsoon),Millet,6356,211,0.51
Lumbini,Summer (Monsoon),Millet,1657,458,2.84
Madhesh,Winter,Millet,8104,597,1.71
Bagmati,Whole Year,Maize,4108,199,2.05
Bagmati,Winter,Maize,8836,847,3.52
Province 1,Whole Year,Potato,3280,255,1.52
Province 1,Summer (Monsoon),Potato,9889,49,4.78
Karnali,Winter,Maize,6559,102,3.32
Lumbini,Summer (Monsoon),Wheat,1401,801,2.18
Gandaki,Summer (Monsoon),Barley,9452,25,2.28
Province 1,Spring,Maize,1063,750,2.21
Sudurpashchim,Spring,Lentil,9433,443,1.2
Province 1,Summer (Monsoon),Rice,8981,128,0.68
Madhesh,Summer (Monsoon),Maize,4684,337,3.27
